,district,Last,DocID,total_receipts
249,PA05,KIRKLAND,9113232,61542.79
251,PA05,ARATA,10020125,19789.0
253,PA05,WERTIME,10020158,140713.02
256,PA05,DAVIDSON,9112662,62327.3
262,PA07,MCGINTY,10016999,2239.82
263,PA07,PERRY,10017887,91251.76
264,PA07,SHEEHAN,10015407,238060.53
265,PA07,LEACH,10018721,547361.09
259,PA07,WRIGHT,10020144,9395.0
260,PA07,LUNKENHEIMER,10020093,883176.29
261,PA07,VITALI,10023846,81458.67
266,PA07,CHAUNCEY,10019883,27852.48
267,PA13,GOODMAN,10019961,303110.16
271,SC04,DAVIS,10019628,8524.4
268,SC04,BROWN,10024173,50299.83
270,SC04,GRABEN,10021616,106171.27
272,SC04,MORIN,10020013,40407.86
273,SC04,TURNER,10019833,30932.86
275,SC05,PARNELL,9110627,2025253.72
276,SC05,FRANK,10015308,65986.6
278,SC05,LOUGH,10022046,15022.36
279,TX02,LITTON,10017409,1429117.57
281,TX02,KHORASANI,10018442,12829.87
282,TX02,JONES,10019112,19035.37
283,TX02,BRYAN,10015204,1192.88
286,TX16,CARRILLO,10019018,3220.0
288,TX16,ESCOBAR,10018885,1372071.51
289,TX16,GARCIA,10018743,108220.79
290,TX16,FENENBOCK,9111773,1053359.08
293,TX21,CROWE,10016942,179456.03
294,TX21,MCFADDEN,9111119,114019.7
296,TX21,WILSON,10019826,112239.74
292,TX21,KOPSER,10021950,2769877.09
299,TX27,HOLGUIN,9112474,183831.91
300,TX27,MCDONALD,10019733,16283.93
315,UT03,SINGER,10024941,16908.36
317,WA08,SCHRIER,10018814,6937042.54
319,WA08,RITTEREISER,10018247,1044900.4
321,WA08,HADER,10019463,886443.94
322,WA08,OLSON,10019314,107765.68
323,WA08,WHITNEY,10018538,105625.94
324,WA08,DAS,10018384,91647.69
325,WA08,MARTS,10017924,74353.87
326,WA08,CRAMER,9112627,43673.4
